BCW_ID,ratio,bin
BCW_201291,1.0,G
BCW_200814,1.0,G
BCW_201082,1.0,G
BCW_200564,1.0,G
BCW_201186,1.0,G
BCW_201075,1.0,G
BCW_200818,1.0,G
BCW_202005,1.0,G
BCW_201059,1.0,G
BCW_201021,1.0,G
BCW_200819,1.0,G
BCW_200945,1.0,G
BCW_200268,1.0,G
BCW_201044,1.0,G
BCW_201258,1.0,G
BCW_200272,1.0,G
BCW_201007,1.0,G
BCW_200589,1.0,G
BCW_201461,1.0,G
BCW_201024,1.0,G
BCW_201071,1.0,G
BCW_201842,1.0,G
BCW_201238,1.0,G
BCW_201154,1.0,G
BCW_201928,1.0,G
BCW_201911,1.0,G
BCW_200994,1.0,G
BCW_200717,1.0,G
BCW_201995,1.0,G
BCW_200735,1.0,G
BCW_200738,1.0,G
BCW_200527,1.0,G
BCW_201822,1.0,G
BCW_200993,1.0,G
BCW_201947,1.0,G
BCW_200508,1.0,G
BCW_200651,1.0,G
BCW_200276,1.0,G
BCW_200587,1.0,G
BCW_201811,1.0,G
BCW_201103,1.0,G
BCW_201036,1.0,G
BCW_200521,1.0,G
BCW_201070,1.0,G
BCW_201441,1.0,G
BCW_200660,1.0,G
BCW_200497,1.0,G
BCW_200704,1.0,G
BCW_200465,1.0,G
BCW_201248,1.0,G
BCW_201088,1.0,G
BCW_201662,1.0,G
BCW_201078,1.0,G
BCW_200931,1.0,G
BCW_200746,1.0,G
BCW_201443,1.0,G
BCW_200528,1.0,G
BCW_200667,1.0,G
BCW_201020,1.0,G
BCW_201857,1.0,G
BCW_201139,1.0,G
BCW_201293,1.0,G
BCW_201155,1.0,G
BCW_201051,1.0,G
BCW_200944,1.0,G
BCW_200526,1.0,G
BCW_200302,1.0,G
BCW_200874,1.0,G
BCW_200790,1.0,G
BCW_201653,1.0,G
BCW_200319,1.0,G
BCW_200892,1.0,G
BCW_200624,1.0,G
BCW_200432,1.0,G
BCW_201091,1.0,G
BCW_200437,1.0,G
