m/z	15N					
1782.2	0.027					
1601.6	0.027					
1645.3	0.027					
1738.7	0.027					
1502.6	0.027					
1074.2	0.027					
849.7	0.027					
736.6	0.027					
1194.5	0.027					
1964.3	0.027					
1170.3	0.027					
386.2	0.027					
1075.2	0.027					
1719.5	0.027					
1689.7	0.027					
1352.9	0.027					
1351.9	0.027					
1290.4	0.026					
1706.7	0.026					
1793.9	0.026					
976.4	0.026					
1474.4	0.026					
1733.4	0.026					
1293.7	0.026					
1630.5	0.026					
744.5	0.026					
1980.3	0.026					
1672.9	0.026					
408.3	0.026					
1493.1	0.026					
1423.9	0.026					
125.0	0.026					
1522.4	0.026					
183.0	0.026					
1237.8	0.026					
1886.6	0.026					
1650.7	0.026					
1736.6	0.026					
1897.3	0.026					
1403.7	0.026					
983.7	0.026					
1476.5	0.026					
1366.6	0.026					
1421.8	0.026					
1057.6	0.026					
1626.2	0.026					
1631.5	0.026					
1924.9	0.026					
855.9	0.026					
1134.2	0.026					
255.1	0.026					
878.4	0.026					
1238.9	0.026					
1671.8	0.026					
992.4	0.026					
1049.2	0.026					
621.9	0.026					
1056.5	0.026					
1310.5	0.026					
1841.7	0.026					
1063.8	0.026					
1576.3	0.026					
1574.2	0.026					
1732.3	0.026					
1452.6	0.026					
1852.5	0.026					
820.9	0.026					
1024.0	0.026					
963.8	0.026					
882.6	0.026					
2136.6	0.026					
689.8	0.026					
2080.6	0.026					
1138.4	0.026					
1678.1	0.026					
1163.9	0.026					
1816.7	0.026					
1294.7	0.026					
1704.6	0.026					
1725.9	0.026					
1267.3	0.026					
2113.9	0.026					
791.5	0.026					
729.3	0.026					
448.3	0.026					
1636.8	0.026					
1757.8	0.026					
1817.8	0.026					
1658.0	0.026					
1821.1	0.026					
1438.7	0.026					
1860.0	0.026					
1955.6	0.026					
1593.1	0.026					
1701.3	0.026					
673.8	0.026					
1922.7	0.026					
1586.7	0.026					
1082.7	0.026					
1829.9	0.026					
1863.3	0.026					
1515.1	0.025					
402.2	0.025					
1913.0	0.025					
500.2	0.025					
1518.3	0.025					
937.7	0.025					
1624.1	0.025					
678.4	0.025					
1687.6	0.025					
1691.8	0.025					
1749.3	0.025					
1813.3	0.025					
1066.9	0.025					
223.9	0.025					
1891.9	0.025					
1402.6	0.025					
876.2	0.025					
2048.0	0.025					
556.2	0.025					
2036.2	0.025					
1684.4	0.025					
1034.5	0.025					
1657.0	0.025					
1256.7	0.025					
2106.3	0.025					
1478.6	0.025					
1660.2	0.025					
1834.3	0.025					
518.2	0.025					
2039.5	0.025					
1846.0	0.025					
1107.7	0.025					
693.3	0.025					
1222.0	0.025					
1346.5	0.025					
1804.6	0.025					
1874.9	0.025					
1388.1	0.025					
1735.5	0.025					
1651.8	0.025					
1984.5	0.025					
1429.2	0.025					
1324.2	0.025					
1916.2	0.025					
532.4	0.025					
1952.5	0.025					
1791.7	0.025					
1588.8	0.025					
1838.5	0.025					
1890.8	0.025					
811.0	0.025					
1758.8	0.025					
998.8	0.025					
1994.1	0.025					
1692.8	0.025					
1800.2	0.025					
2109.5	0.025					
1643.3	0.025					
1953.5	0.025					
420.2	0.025					
1717.4	0.025					
587.5	0.025					
2110.6	0.025					
1548.8	0.025					
1881.1	0.025					
1798.2	0.025					
1968.5	0.025					
1934.5	0.025					
979.5	0.025					
1192.4	0.025					
2093.5	0.025					
1575.3	0.025					
1480.6	0.025					
1761.0	0.025					
874.2	0.025					
2055.6	0.025					
2022.3	0.025					
2100.9	0.025					
1628.4	0.025					
1627.3	0.025					
2177.8	0.025					
1970.7	0.025					
1564.8	0.025					
1552.0	0.025					
1785.3	0.025					
1084.7	0.024					
1565.8	0.024					
1052.3	0.024					
769.1	0.024					
1812.3	0.024					
