BCW_ID,Ratio (15N/14N),,
BCW_201031,0.8,,
BCW_201359,0.8,,
BCW_200930,0.8,,
BCW_201940,0.8,,
BCW_200602,0.8,,
BCW_201360,0.8,,
BCW_200739,0.8,,
BCW_201923,0.8,,
BCW_200933,0.8,,
BCW_200750,0.8,,
BCW_200300,0.8,,
BCW_201282,0.8,,
BCW_200720,0.8,,
BCW_200255,0.8,,
BCW_201147,0.8,,
BCW_201089,0.8,,
BCW_200784,0.8,,
BCW_200783,0.8,,
BCW_201373,0.8,,
BCW_200707,0.8,,
BCW_200888,0.8,,
BCW_201722,0.8,,
BCW_201101,0.8,,
BCW_201043,0.8,,
BCW_201023,0.8,,
BCW_200479,0.8,,
BCW_200805,0.8,,
BCW_201213,0.8,,
empty,0.8,,
BCW_201127,0.8,,
BCW_200631,0.8,,
BCW_201030,0.8,,
BCW_200507,0.8,,
BCW_200674,0.8,,
BCW_201309,0.8,,
BCW_200510,0.8,,
BCW_200975,0.8,,
BCW_200541,0.8,,
BCW_200246,0.8,,
BCW_200741,0.8,,
BCW_200742,0.8,,
empty,0.8,,
BCW_200582,0.8,,
BCW_201137,0.8,,
empty,0.8,,
BCW_201372,0.8,,
BCW_201357,0.8,,
BCW_200710,0.8,,
BCW_201039,0.8,,
BCW_201095,0.8,,
BCW_201952,0.8,,
BCW_200610,0.8,,
BCW_201449,0.8,,
BCW_201135,0.8,,
BCW_200625,0.8,,
BCW_201042,0.8,,
BCW_200899,0.8,,
BCW_201174,0.8,,
BCW_201096,0.8,,
BCW_201005,0.8,,
BCW_201347,0.8,,
empty,0.8,,
BCW_200515,0.8,,
BCW_201991,0.8,,
BCW_201618,0.8,,
empty,0.8,,
BCW_202009,0.8,,
BCW_201109,0.8,,
BCW_200283,0.8,,
BCW_200518,0.8,,
BCW_200844,0.8,,
BCW_201358,0.8,,
BCW_201374,0.8,,
BCW_201122,0.8,,
BCW_201143,0.8,,
BCW_201099,0.8,,
BCW_201212,0.8,,
BCW_201950,0.8,,
BCW_200585,0.8,,
BCW_200629,0.8,,
BCW_201041,0.8,,
BCW_201686,0.8,,
BCW_201029,0.8,,
BCW_200461,0.8,,
BCW_201619,0.8,,
BCW_201142,0.8,,
BCW_200680,0.8,,
BCW_200608,0.8,,
BCW_201681,0.8,,
BCW_201454,0.8,,
BCW_201650,0.8,,
BCW_201048,0.8,,
BCW_201727,0.8,,
BCW_200296,0.8,,
BCW_201027,0.8,,
BCW_200778,0.8,,
BCW_201040,0.8,,
BCW_200848,0.8,,
BCW_201379,0.8,,
empty,0.8,,
BCW_200947,0.8,,
BCW_200320,0.8,,
BCW_201966,0.8,,
BCW_200678,0.8,,
BCW_201183,0.8,,
BCW_201138,0.8,,
empty,0.8,,
BCW_201999,0.8,,
BCW_200249,0.8,,
BCW_201725,0.8,,
BCW_200622,0.8,,
BCW_201370,0.8,,
empty,0.8,,
BCW_200754,0.8,,
empty,0.8,,
BCW_200795,0.8,,
BCW_201924,0.8,,
empty,0.8,,
BCW_201363,0.8,,
BCW_200748,0.8,,
BCW_200441,0.8,,
BCW_200322,0.8,,
BCW_201625,0.8,,
BCW_201463,0.8,,
BCW_201306,0.8,,
BCW_200494,0.8,,
BCW_201447,0.8,,
BCW_200475,0.8,,
BCW_201355,0.8,,
BCW_200753,0.8,,
BCW_201955,0.8,,
BCW_201965,0.8,,
BCW_200632,0.8,,
empty,0.8,,
BCW_200618,0.8,,
empty,0.8,,
BCW_200314,0.8,,
BCW_201993,0.8,,
BCW_200546,0.8,,
empty,0.8,,
BCW_201958,0.8,,
BCW_201717,0.8,,
BCW_200637,0.8,,
BCW_200532,0.8,,
BCW_200258,0.8,,
BCW_200823,0.8,,
empty,0.8,,
BCW_201356,0.8,,
BCW_201700,0.8,,
BCW_200284,0.8,,
BCW_201959,0.8,,
BCW_200749,0.8,,
BCW_201016,0.8,,
BCW_201635,0.8,,
BCW_201616,0.8,,
BCW_200779,0.8,,
BCW_200247,0.8,,
BCW_200243,0.8,,
BCW_201004,0.8,,
BCW_200949,0.8,,
BCW_200613,0.7,,
BCW_201680,0.7,,
?,0.7,,
BCW_201906,0.7,,
BCW_200454,0.7,,
BCW_200995,0.7,,
Ec,0.7,,
BCW_200979,0.7,,
BCW_201279,0.7,,
BCW_201716,0.7,,
BCW_200706,0.7,,
BCW_200792,0.7,,
BCW_200261,0.7,,
BCW_201820,0.7,,
BCW_200654,0.7,,
BCW_200780,0.7,,
BCW_201977,0.7,,
BCW_201992,0.7,,
BCW_201963,0.7,,
BCW_200692,0.7,,
BCW_201970,0.7,,
BCW_201610,0.7,,
BCW_200906,0.7,,
BCW_200636,0.7,,
BCW_201130,0.7,,
BCW_200793,0.7,,
BCW_201953,0.7,,
BCW_200571,0.7,,
BCW_200752,0.7,,
BCW_201244,0.7,,
BCW_200781,0.7,,
BCW_201969,0.7,,
empty,0.7,,
BCW_200611,0.7,,
BCW_200256,0.7,,
BCW_200495,0.7,,
BCW_200468,0.7,,
BCW_200617,0.7,,
BCW_201694,0.7,,
BCW_201516,0.7,,
BCW_200586,0.7,,
BCW_201136,0.7,,
BCW_201126,0.7,,
BCW_200721,0.7,,
BCW_201629,0.7,,
BCW_201968,0.7,,
empty,0.7,,
BCW_201981,0.7,,
BCW_201086,0.7,,
BCW_200684,0.7,,
BCW_200846,0.7,,
BCW_200777,0.7,,
BCW_200244,0.7,,
BCW_201696,0.7,,
BCW_200852,0.7,,
BCW_201660,0.7,,
BCW_200690,0.7,,
BCW_201128,0.7,,
BCW_200482,0.7,,
BCW_201941,0.7,,
BCW_201678,0.7,,
BCW_200698,0.7,,
BCW_201106,0.7,,
BCW_200914,0.7,,
empty,0.7,,
BCW_201354,0.7,,
empty,0.7,,
BCW_200877,0.7,,
BCW_201367,0.7,,
BCW_200677,0.7,,
BCW_201998,0.7,,
BCW_200854,0.7,,
BCW_201718,0.7,,
BCW_201661,0.7,,
BCW_200580,0.7,,
BCW_200581,0.7,,
BCW_200913,0.7,,
BCW_200699,0.7,,
BCW_201821,0.7,,
BCW_201119,0.7,,
BCW_200676,0.7,,
empty,0.7,,
BCW_200330,0.7,,
BCW_201641,0.7,,
BCW_201365,0.7,,
BCW_200597,0.7,,
BCW_201371,0.7,,
BCW_200480,0.7,,
BCW_200592,0.7,,
BCW_200431,0.7,,
BCW_201022,0.7,,
BCW_200260,0.7,,
BCW_201145,0.7,,
BCW_200512,0.7,,
BCW_201217,0.7,,
BCW_201281,0.7,,
BCW_200306,0.7,,
BCW_200456,0.7,,
BCW_201683,0.7,,
BCW_200691,0.7,,
BCW_201701,0.7,,
BCW_201920,0.7,,
BCW_200689,0.7,,
BCW_201219,0.7,,
BCW_201964,0.7,,
BCW_201983,0.7,,
BCW_201132,0.7,,
BCW_201352,0.7,,
BCW_201892,0.7,,
BCW_200536,0.7,,
BCW_201971,0.7,,
BCW_201630,0.7,,
BCW_201702,0.7,,
BCW_201218,0.7,,
BCW_201211,0.7,,
BCW_201220,0.7,,
BCW_201631,0.7,,
BCW_201511,0.7,,
BCW_202000,0.7,,
BCW_201628,0.7,,
BCW_201366,0.7,,
BCW_201698,0.7,,
Ec,0.7,,
BCW_200695,0.7,,
BCW_200794,0.7,,
BCW_200627,0.7,,
BCW_200740,0.7,,
BCW_200520,0.7,,
BCW_201159,0.7,,
BCW_200849,0.7,,
BCW_200652,0.7,,
BCW_201364,0.7,,
BCW_201699,0.7,,
BCW_201113,0.7,,
BCW_201904,0.7,,
BCW_200686,0.7,,
BCW_201724,0.6,,
BCW_201719,0.6,,
BCW_200685,0.6,,
BCW_201018,0.6,,
BCW_200703,0.6,,
BCW_200682,0.6,,
BCW_200876,0.6,,
BCW_200696,0.6,,
BCW_201134,0.6,,
BCW_201935,0.6,,
BCW_200439,0.6,,
BCW_201377,0.6,,
BCW_201976,0.6,,
BCW_201925,0.6,,
BCW_201996,0.6,,
BCW_201009,0.6,,
BCW_201987,0.6,,
BCW_201697,0.6,,
BCW_200744,0.6,,
BCW_201102,0.6,,
BCW_200681,0.6,,
BCW_201378,0.6,,
BCW_200751,0.6,,
BCW_200683,0.6,,
BCW_200615,0.6,,
BCW_201695,0.6,,
BCW_201816,0.6,,
BCW_201149,0.6,,
BCW_201133,0.6,,
?,0.6,,
BCW_200878,0.6,,
BCW_200697,0.6,,
BCW_200673,0.6,,
BCW_201353,0.6,,
Az,0.6,,
BCW_201121,0.6,,
BCW_201930,0.6,,
BCW_201912,0.6,,
BCW_201627,0.6,,
BCW_201676,0.6,,
BCW_201691,0.6,,
BCW_201144,0.6,,
BCW_200822,0.6,,
BCW_200701,0.6,,
BCW_200655,0.6,,
BCW_201677,0.6,,
BCW_201946,0.6,,
BCW_201120,0.6,,
BCW_201985,0.6,,
BCW_200664,0.6,,
BCW_201967,0.6,,
BCW_201905,0.6,,
empty,0.6,,
BCW_201146,0.6,,
BCW_201980,0.6,,
BCW_201624,0.6,,
BCW_201351,0.6,,
BCW_201216,0.6,,
BCW_200242,0.6,,
BCW_201817,0.5,,
BCW_201913,0.5,,
BCW_201626,0.5,,
BCW_202004,0.5,,
BCW_200702,0.5,,
BCW_201931,0.5,,
BCW_201984,0.5,,
BCW_201921,0.5,,
BCW_201907,0.5,,
BCW_202003,0.5,,
Ec,0.5,,
BCW_201989,0.5,,
BCW_201807,0.4,,
BCW_201918,0.4,,
BCW_201922,0.4,,
