BCW_ID,Ratio (15N/14N),,
BCW_201812,1.1,1.1,BCW_201812
BCW_200552,1.1,1.1,BCW_200552
BCW_201019,1.1,1.1,BCW_201019
BCW_201703,1.1,1.1,BCW_201703
BCW_201079,1.1,1.1,BCW_201079
BCW_201151,1.1,1.1,BCW_201151
BCW_200449,1.1,1.1,BCW_200449
BCW_201056,1.1,1.1,BCW_201056
BCW_201263,1.1,1.1,BCW_201263
BCW_201261,1.1,1.1,BCW_201261
BCW_200266,1.1,1.1,BCW_200266
BCW_201164,1.1,1.1,BCW_201164
BCW_201848,1.1,1.1,BCW_201848
BCW_200274,1.1,1.1,BCW_200274
BCW_201871,1.1,1.1,BCW_201871
BCW_201954,1.1,1.1,BCW_201954
BCW_200470,1.1,1.1,BCW_200470
BCW_200565,1.1,1.1,BCW_200565
BCW_200920,1.1,1.1,BCW_200920
BCW_201891,1.1,1.1,BCW_201891
BCW_201865,1.1,1.1,BCW_201865
BCW_200529,1.1,1.1,BCW_200529
BCW_200821,1.1,1.1,BCW_200821
BCW_201315,1.1,1.1,BCW_201315
BCW_200991,1.1,1.1,BCW_200991
BCW_201972,1.1,1.1,BCW_201972
BCW_200736,1.1,1.1,BCW_200736
BCW_201833,1.1,1.1,BCW_201833
BCW_200828,1.1,1.1,BCW_200828
BCW_200459,1.1,1.1,BCW_200459
BCW_200598,1.1,1.1,BCW_200598
BCW_201117,1.1,1.1,BCW_201117
BCW_201845,1.1,1.1,BCW_201845
BCW_201097,1.1,1.1,BCW_201097
BCW_200567,1.1,1.1,BCW_200567
BCW_200542,1.1,1.1,BCW_200542
BCW_200446,1.1,1.1,BCW_200446
BCW_200648,1.1,1.1,BCW_200648
BCW_200460,1.1,1.1,BCW_200460
BCW_200547,1.1,1.1,BCW_200547
BCW_200718,1.1,1.1,BCW_200718
BCW_201827,1.1,1.1,BCW_201827
BCW_201896,1.1,1.1,BCW_201896
BCW_201175,1.1,1.1,BCW_201175
BCW_200634,1.1,1.1,BCW_201909
BCW_200815,1.1,1.1,BCW_201990
BCW_200951,1.1,1.1,BCW_201659
BCW_200471,1.1,1.1,BCW_201886
BCW_200659,1.1,1.1,BCW_200939
BCW_200642,1.1,1.1,BCW_201176
BCW_200912,1.1,1.1,BCW_200955
BCW_201184,1.1,1.1,BCW_201184
BCW_201957,1.1,1.1,BCW_201957
BCW_200447,1.1,1.1,BCW_200447
BCW_201853,1.1,1.1,BCW_201853
BCW_201150,1.1,1.1,BCW_201150
BCW_200801,1.1,1.1,BCW_200801
BCW_200525,1.1,1.1,BCW_200525
BCW_201826,1.1,1.1,BCW_201826
BCW_201302,1.1,1.1,BCW_201302
BCW_200462,1.1,1.1,BCW_200462
BCW_200477,1.1,1.1,BCW_200477
BCW_200434,1.1,1.1,BCW_200434
BCW_201008,1.1,1.1,BCW_201008
BCW_200578,1.1,1.1,BCW_200578
BCW_201945,1.1,1.1,BCW_201945
BCW_201726,1.1,1.1,BCW_201726
BCW_200800,1.1,1.1,BCW_200800
BCW_200516,1.1,1.1,BCW_200516
BCW_200776,1.1,1.1,BCW_200776
BCW_201938,1.1,1.1,BCW_201938
BCW_200555,1.1,1.1,BCW_200555
BCW_200719,1.1,1.1,BCW_200719
BCW_200983,1.1,1.1,BCW_200983
BCW_201839,1.1,1.1,BCW_201839
BCW_200797,1.1,1.1,BCW_200797
BCW_200656,1.1,1.1,BCW_200656
BCW_200881,1.1,1.1,BCW_200881
