bcw_id,group
BCW-201025,DSN
BCW-201028,DSN
BCW-201036,DSN
BCW-201045,DSN
BCW-201051,DSN
BCW-201054,DSN
BCW-201056,DSN
BCW-201079,DSN
BCW-201081,DSN
BCW-201083,DSN
BCW-201084,DSN
BCW-201085,DSN
BCW-201090,DSN
BCW-201103,DSN
BCW-201151,DSN
BCW-201152,DSN
BCW-201153,DSN
BCW-201154,DSN
BCW-201173,DSN
BCW-201175,DSN
BCW-201176,DSN
BCW-201185,DSN
BCW-201186,DSN
BCW-201187,DSN
BCW-201236,DSN
BCW-201238,DSN
BCW-201245,DSN
BCW-201248,DSN
BCW-201257,DSN
BCW-201258,DSN
BCW-201260,DSN
BCW-201350,DSN
BCW-201444,DSN
BCW-201445,DSN
BCW-201450,DSN
BCW-201453,DSN
BCW-201648,DSN
BCW-201653,DSN
BCW-201654,DSN
BCW-201662,DSN
BCW-201726,DSN
BCW-201809,DSN
BCW-201811,DSN
BCW-201812,DSN
BCW-201814,DSN
BCW-201826,DSN
BCW-201827,DSN
BCW-201832,DSN
BCW-201833,DSN
BCW-201835,DSN
BCW-201839,DSN
BCW-201842,DSN
BCW-201845,DSN
BCW-201847,DSN
BCW-201848,DSN
BCW-201849,DSN
BCW-201853,DSN
BCW-201854,DSN
BCW-201857,DSN
BCW-201861,DSN
BCW-201864,DSN
BCW-201865,DSN
BCW-201866,DSN
BCW-201867,DSN
BCW-201874,DSN
BCW-201877,DSN
BCW-201878,DSN
BCW-201880,DSN
BCW-201881,DSN
BCW-201882,DSN
BCW-201883,DSN
BCW-201884,DSN
BCW-201885,DSN
BCW-201889,DSN
BCW-201891,DSN
BCW-201895,DSN
BCW-201896,DSN
BCW-201897,DSN
BCW-201899,DSN
BCW-201903,DSN
BCW-201909,DSN
BCW-201914,DSN
BCW-201917,DSN
BCW-201933,DSN
BCW-201938,DSN
BCW-201945,DSN
BCW-201949,DSN
BCW-201957,DSN
BCW-201975,DSN
BCW-201982,DSN
BCW-201995,DSN
BCW-201997,DSN
BCW-202001,DSN
